Date,U.S,% Change
Jan-00,23.53,0
Feb-00,25.48,8.29
Mar-00,26.19,2.79
Apr-00,23.2,-11.42
May-00,25.58,10.26
Jun-00,27.62,7.97
Jul-00,26.81,-2.93
Aug-00,27.91,4.1
Sep-00,29.72,6.49
Oct-00,29.65,-0.24
Nov-00,30.36,2.39
Dec-00,24.46,-19.43
Jan-01,24.64,0.74
Feb-01,25.27,2.56
Mar-01,22.98,-9.06
Apr-01,23.39,1.78
May-01,24.06,2.86
Jun-01,23.43,-2.62
Jul-01,22.82,-2.6
Aug-01,23.08,1.14
Sep-01,22.37,-3.08
Oct-01,18.73,-16.27
Nov-01,16.4,-12.44
Dec-01,15.54,-5.24
Jan-02,15.89,2.25
Feb-02,16.93,6.54
Mar-02,20.28,19.79
Apr-02,22.52,11.05
May-02,23.51,4.4
Jun-02,22.59,-3.91
Jul-02,23.51,4.07
Aug-02,24.76,5.32
Sep-02,26.08,5.33
Oct-02,25.29,-3.03
Nov-02,23.38,-7.55
Dec-02,25.29,8.17
Jan-03,28.42,12.38
Feb-03,31.85,12.07
Mar-03,30.1,-5.49
Apr-03,25.45,-15.45
May-03,24.95,-1.96
Jun-03,26.84,7.58
Jul-03,27.52,2.53
Aug-03,27.94,1.53
Sep-03,25.23,-9.7
Oct-03,26.53,5.15
Nov-03,27.21,2.56
Dec-03,28.53,4.85
Jan-04,30.35,6.38
Feb-04,31.21,2.83
Mar-04,32.86,5.29
Apr-04,33.2,1.03
May-04,35.73,7.62
Jun-04,34.53,-3.36
Jul-04,36.54,5.82
Aug-04,40.1,9.74
Sep-04,40.56,1.15
Oct-04,46.14,13.76
Nov-04,42.85,-7.13
Dec-04,38.22,-10.81
Jan-05,40.18,5.13
Feb-05,42.19,5
Mar-05,47.56,12.73
Apr-05,47.26,-0.63
May-05,44.03,-6.83
Jun-05,49.83,13.17
Jul-05,53.35,7.06
Aug-05,58.9,10.4
Sep-05,59.64,1.26
Oct-05,56.99,-4.44
Nov-05,53.2,-6.65
Dec-05,53.24,0.08
Jan-06,57.85,8.66
Feb-06,55.69,-3.73
Mar-06,55.64,-0.09
Apr-06,62.52,12.37
May-06,64.4,3.01
Jun-06,64.65,0.39
Jul-06,67.71,4.73
Aug-06,67.21,-0.74
Sep-06,59.37,-11.66
Oct-06,53.26,-10.29
Nov-06,52.42,-1.58
Dec-06,55.03,4.98
Jan-07,49.32,-10.38
Feb-07,52.94,7.34
Mar-07,54.95,3.8
Apr-07,58.2,5.91
May-07,58.9,1.2
Jun-07,62.35,5.86
Jul-07,69.23,11.03
Aug-07,67.77,-2.11
Sep-07,73.27,8.12
Oct-07,79.32,8.26
Nov-07,87.16,9.88
Dec-07,85.28,-2.16
Jan-08,87.06,2.09
Feb-08,89.41,2.7
Mar-08,98.44,10.1
Apr-08,106.64,8.33
May-08,118.55,11.17
Jun-08,127.47,7.52
Jul-08,128.08,0.48
Aug-08,112.83,-11.91
Sep-08,98.5,-12.7
Oct-08,73.18,-25.71
Nov-08,53.67,-26.66
Dec-08,36.8,-31.43
Jan-09,35,-4.89
Feb-09,34.14,-2.46
Mar-09,42.45,24.34
Apr-09,45.19,6.45
May-09,52.67,16.55
Jun-09,63.09,19.78
Jul-09,60.44,-4.2
Aug-09,65.28,8.01
Sep-09,65.28,0
Oct-09,69.82,6.95
Nov-09,71.99,3.11
Dec-09,70.42,-2.18
Jan-10,72.87,3.48
Feb-10,72.74,-0.18
Mar-10,75.77,4.17
Apr-10,78.8,4
May-10,70.91,-10.01
Jun-10,70.77,-0.2
Jul-10,71.37,0.85
Aug-10,72.07,0.98
Sep-10,71.23,-1.17
Oct-10,76.02,6.72
Nov-10,79.2,4.18
Dec-10,83.98,6.04
Jan-11,85.66,2
Feb-11,86.69,1.2
Mar-11,99.19,14.42
Apr-11,108.8,9.69
May-11,102.46,-5.83
Jun-11,97.3,-5.04
Jul-11,97.82,0.53
Aug-11,89,-9.02
Sep-11,90.22,1.37
Oct-11,92.28,2.28
Nov-11,100.18,8.56
Dec-11,98.71,-1.47
Jan-12,98.99,0.28
Feb-12,102.04,3.08
Mar-12,105.42,3.31
Apr-12,103.62,-1.71
May-12,95.57,-7.77
Jun-12,83.59,-12.54
Jul-12,86.1,3
Aug-12,92.53,7.47
Sep-12,95.98,3.73
Oct-12,92.24,-3.9
Nov-12,89.64,-2.82
Dec-12,89.81,0.19
Jan-13,95,5.78
Feb-13,95.01,0.01
Mar-13,95.54,0.56
Apr-13,94.41,-1.18
May-13,94.75,0.36
Jun-13,93.82,-0.98
Jul-13,101.41,8.09
Aug-13,102.96,1.53
Sep-13,102.32,-0.62
Oct-13,96.18,-6
Nov-13,88.7,-7.78
Dec-13,91.85,3.55
Jan-14,89.57,-2.48
Feb-14,96.86,8.14
Mar-14,96.17,-0.71
Apr-14,96.49,0.33
May-14,95.74,-0.78
Jun-14,98.68,3.07
Jul-14,96.7,-2.01
Aug-14,90.72,-6.18
Sep-14,86.87,-4.24
Oct-14,78.84,-9.24
Nov-14,71.07,-9.86
Dec-14,54.86,-22.81
Jan-15,43.06,-21.51
Feb-15,44.35,3
Mar-15,42.66,-3.81
Apr-15,49.3,15.56
May-15,54.38,10.3
Jun-15,55.88,2.76
