Date,Price,Open,High,Low,Vol.,Change %,Change
12/1/2019,"3,230.78","3,143.85","3,247.93","3,070.33",,2.86%,2.86
11/1/2019,"3,140.98","3,050.72","3,154.26","3,050.72",,3.40%,3.4
10/1/2019,"3,037.56","2,983.69","3,050.10","2,855.94",,2.04%,2.04
9/1/2019,"2,976.74","2,909.01","3,021.99","2,891.85",,1.72%,1.72
8/1/2019,"2,926.46","2,980.32","3,013.59","2,822.12",,-1.81%,-1.81
7/1/2019,"2,980.38","2,971.41","3,027.98","2,952.22",,1.31%,1.31
6/1/2019,"2,941.76","2,751.53","2,964.15","2,728.81",,6.89%,6.89
5/1/2019,"2,752.06","2,952.33","2,954.13","2,750.52",,-6.58%,-6.58
4/1/2019,"2,945.83","2,848.63","2,949.52","2,848.63",,3.93%,3.93
3/1/2019,"2,834.40","2,798.22","2,860.31","2,722.27",,1.79%,1.79
2/1/2019,"2,784.49","2,702.32","2,813.49","2,681.83",,2.97%,2.97
1/1/2019,"2,704.10","2,476.96","2,708.95","2,443.96",,7.87%,7.87
12/1/2018,"2,506.85","2,790.50","2,800.18","2,346.58",,-9.18%,-9.18
11/1/2018,"2,760.17","2,717.58","2,815.15","2,631.09",,1.79%,1.79
10/1/2018,"2,711.74","2,926.29","2,939.86","2,603.54",,-6.94%,-6.94
9/1/2018,"2,913.98","2,896.96","2,940.91","2,864.12",,0.43%,0.43
8/1/2018,"2,901.52","2,821.17","2,916.50","2,796.34",,3.03%,3.03
7/1/2018,"2,816.29","2,704.95","2,848.03","2,698.95",,3.60%,3.6
6/1/2018,"2,718.37","2,718.70","2,791.47","2,691.99",,0.48%,0.48
5/1/2018,"2,705.27","2,643.64","2,742.24","2,594.62",,2.16%,2.16
4/1/2018,"2,648.05","2,633.45","2,717.49","2,553.80",,0.27%,0.27
3/1/2018,"2,640.87","2,715.22","2,801.90","2,585.89",,-2.69%,-2.69
2/1/2018,"2,713.83","2,816.45","2,835.96","2,532.69",,-3.89%,-3.89
